,gene_ids,new_names
17302,AT5G40610,DHAPRD
17303,AT4G28100,AT4G28100
17304,AT5G66500,PCMP-E38
17305,AT1G32360,AT1G32360
17306,AT2G39380,ATEXO70H2
17307,AT5G57970,AT5G57970
17308,AT1G23660,AT1G23660
17309,AT3G05870,APC11
17310,AT4G12930,AT4G12930
17311,AT5G20160,AT5G20160
17312,AT4G38100,CURT1D
17313,AT2G42570,TBL39
17314,AT1G72160,PATL3
17315,AT4G16990,RLM3
17316,AT1G43020,AT1G43020
17317,AT4G35660,AT4G35660
17318,AT3G52620,AT3G52620
17319,AT4G18870,AT4G18870
17320,AT1G61105,AT1G61105
17321,AT2G04038,AtbZIP48
17322,AT3G44240,CAF1-8
17323,AT5G21990,OEP61
17324,AT1G50500,HIT1
17325,AT1G13870,KTI12
17326,AT1G21470,AT1G21470
17327,AT5G27830,AT5G27830
17328,AT3G60900,FLA10
17329,AT2G02635,AT2G02635
17330,AT4G11050,AtGH9C3
17331,AT2G23470,RUS4
17332,AT5G66540,AT5G66540
17333,AT1G73590,PIN1
17334,AT2G44610,RABH1B
17335,AT1G55420,EDA11
17336,AT2G17705,AT2G17705
17337,AT3G58790,GAUT15
17338,AT4G03170,AT4G03170
17339,AT3G58570,RH52
17340,AT5G63720,KPL
17341,AT4G16130,ARA1
17342,AT3G05500,AT3G05500
17343,AT4G28750,PSAE1
17344,AT1G20600,AT1G20600
17345,AT1G14755,AT1G14755
17346,AT5G11820,AT5G11820
17347,AT4G18770,MYB98
17348,AT1G61575,AT1G61575
17349,AT3G02170,LNG2
17350,AT2G46220,AT2G46220
17351,AT5G27920,AT5G27920
17352,AT3G58940,AT3G58940
17353,AT5G21090,LRR1
17354,AT3G61380,AT3G61380
17355,AT2G01275,AT2G01275
17356,AT1G44080,AT1G44080
17357,AT2G25605,AT2G25605
17358,AT3G14452,AT3G14452
17359,AT5G36420,AT5G36420
17360,AT4G35150,AT4G35150
17361,AT1G52580,RBL5
17362,AT3G51390,PAT10
17363,AT1G11230,AT1G11230
17364,AT1G67640,AT1G67640
17365,AT3G51740,IMK2
17366,AT5G22120,AT5G22120
17367,AT1G18520,TET11
17368,AT5G57440,GPP2
17369,AT3G60110,AT3G60110
17370,AT2G04480,AT2G04480
17371,AT5G12120,AT5G12120
17372,AT4G21660,AT4G21660
17373,AT1G66680,AR401
17374,AT5G06910,ATJ6
17375,AT3G09055,AT3G09055
17376,AT5G62670,AHA11
17377,AT1G27270,AT1G27270
17378,AT3G52570,AT3G52570
17379,AT1G22360,UGT85A2
17380,AT2G41515,AT2G41515
17381,AT3G58220,AT3G58220
17382,AT1G68960,AT1G68960
17383,AT3G57000,AT3G57000
17384,AT2G31432,AT2G31432
17385,AT5G53610,AT5G53610
17386,AT1G52510,AT1G52510
17387,AT5G63350,AT5G63350
17388,AT1G79600,ABC1K3
17389,AT1G10650,AT1G10650
17390,AT1G76994,AT1G76994
17391,AT5G42895,AT5G42895
17392,AT1G52495,AT1G52495
17393,AT5G66335,AT5G66335
17394,AT2G26080,GLDP2
17395,AT3G01800,AT3G01800
17396,AT3G49350,AT3G49350
17397,AT1G02090,CSN7
17398,AT2G30105,AT2G30105
17399,AT1G32400,TOM2A
17400,AT1G04800,AT1G04800
17401,AT1G51490,BGLU36
17402,AT2G47420,DIM1A
17403,AT4G25340,FKBP53
17404,AT1G58037,AT1G58037
17405,AT3G01710,AT3G01710
17406,AT1G04390,AT1G04390
17407,AT2G36030,AT2G36030
17408,AT2G37760,AKR4C8
17409,AT1G08190,VPS41
17410,AT5G61110,AT5G61110
17411,AT4G17940,AT4G17940
17412,AT4G31890,AT4G31890
17413,AT5G47900,AT5G47900
17414,AT3G06020,FAF4
17415,AT3G62930,GRXS6
17416,AT5G03204,AT5G03204
17417,AT5G18860,AT5G18860
17418,AT4G22740,AT4G22740
17419,AT2G02020,NPF8.4
17420,AT2G19500,CKX2
17421,AT2G01220,AT2G01220
17422,AT1G20780,PUB44
17423,AT5G35405,AT5G35405
17424,AT3G07160,ATGSL10
17425,AT3G19620,BXL5
17426,AT4G23250,EMB1290
17427,AT5G07720,XXT3
17428,AT4G29480,AT4G29480
17429,AT1G11110,AT1G11110
17430,AT5G10000,FD4
17431,AT2G29050,RBL1
17432,AT1G26140,AT1G26140
17433,AT1G29270,AT1G29270
17434,AT5G17430,BBM
17435,AT4G00820,iqd17
17436,AT2G17380,AAP19-1
17437,AT5G56720,AT5G56720
17438,AT1G08310,AT1G08310
17439,AT5G22250,CAF1-11
17440,AT5G06320,NHL3
17441,AT2G18410,ELP5
17442,AT2G23420,NAPRT2
17443,AT3G51950,AT3G51950
17444,AT3G19300,AT3G19300
17445,AT4G20230,AT4G20230
17446,AT5G51690,ACS12
17447,AT2G46360,AT2G46360
17448,AT2G20280,AT2G20280
17449,AT4G19890,AT4G19890
17450,AT1G69520,AT1G69520
17451,AT1G15890,AT1G15890
17452,AT4G23990,CSLG3
17453,AT1G31640,AGL92
17454,AT3G05727,AT3G05727
17455,AT3G09530,ATEXO70H3
17456,ATCG00820,RPS19
17457,AT2G25350,AT2G25350
17458,AT1G10020,AT1G10020
17459,AT2G22810,ACS4
17460,AT2G46820,CURT1B
17461,AT1G11210,AT1G11210
17462,AT4G00755,AT4G00755
17463,AT5G08770,AT5G08770
17464,AT3G48420,CBBY
17465,AT5G10480,PAS2
17466,ATMG01130,ORF106F
17467,AT5G18735,AT5G18735
17468,AT2G06040,AT2G06040
17469,AT1G59835,CEP2
17470,AT1G50350,AT1G50350
17471,AT2G34200,AT2G34200
17472,AT1G13880,AT1G13880
17473,AT2G14670,SUC8
17474,AT3G63450,AT3G63450
17475,AT5G48370,AT5G48370
17476,AT3G23350,AT3G23350
17477,AT2G01280,MEE65
17478,AT3G13674,AT3G13674
17479,AT3G25270,AT3G25270
17480,AT1G49005,CLE11
17481,AT1G58420,AT1G58420
17482,AT2G07713,AT2G07713
17483,AT1G49860,GSTF14
17484,AT5G45720,AT5G45720
17485,AT1G50840,POLGAMMA2
17486,AT3G15357,AT3G15357
17487,AT2G22360,DJA6
17488,AT1G41820,AT1G41820
17489,AT2G46710,ROPGAP3
17490,AT3G15790,MBD11
17491,AT2G39950,AT2G39950
17492,AT1G36622,AT1G36622
17493,AT3G63230,AT3G63230
17494,AT4G28590,MRL7
17495,AT3G46400,AT3G46400
17496,AT5G04120,IPSP
17497,AT3G44980,AT3G44980
17498,AT1G73000,PYL3
17499,AT3G14340,AT3G14340
17500,AT2G32720,CYTB5-B
17501,AT5G38070,AT5G38070
17502,AT1G64960,AT1G64960
17503,AT1G29535,AT1G29535
17504,AT3G02490,AT3G02490
17505,AT4G37420,AT4G37420
17506,AT3G44740,AT3G44740
17507,AT2G25910,AT2G25910
17508,AT2G43150,AT2G43150
17509,AT5G35550,TT2
17510,AT1G63295,AT1G63295
17511,AT3G45790,AT3G45790
17512,AT3G24840,AT3G24840
17513,AT5G03710,AT5G03710
17514,AT4G39270,AT4G39270
17515,AT3G42390,AT3G42390
17516,AT3G15534,AT3G15534
17517,AT3G02690,AT3G02690
17518,AT3G17750,AT3G17750
17519,AT2G01690,AT2G01690
17520,AT2G33040,ATPC
17521,AT2G25950,AT2G25950
17522,AT5G56670,RPS30A
17523,AT4G17150,AT4G17150
17524,AT1G48990,AT1G48990
17525,AT1G29080,AT1G29080
17526,AT5G14710,AT5G14710
17527,AT1G23050,AT1G23050
17528,AT2G14695,AT2G14695
17529,ATMG01230,ORF145B
17530,AT3G04670,WRKY39
17531,AT2G28470,BGAL8
17532,AT4G11490,CRK33
17533,AT1G35290,ALT1
17534,AT3G24180,AT3G24180
17535,AT2G32650,AT2G32650
17536,AT4G17300,NS1
17537,AT4G21110,AT4G21110
17538,AT3G46200,NUDT9
17539,AT3G29680,AT3G29680
17540,AT1G79050,RECA
17541,AT2G40420,AVT6D
17542,AT4G38780,AT4G38780
17543,AT5G06870,PGIP2
17544,AT5G24330,ATXR6
17545,AT1G73340,AT1G73340
17546,AT1G64580,AT1G64580
