,sample1,sample2,sample3
AT2G37430,9.600497023,0.942286002,0
AT2G37435,3.200165674,20.73029204,16.61527067
AT2G37440,105.6054673,1.884572004,73.30266474
AT2G37450,876.8453948,995.9963039,612.8102772
AT2G37460,26.66804729,20.73029204,3.909475453
AT2G08875,0,0,0
AT2G37470,3571.384893,4520.145951,5399.962969
AT2G37480,3594.852774,3187.753544,3587.921097
AT2G37500,1943.567286,2267.14012,2200.057311
AT2G37510,515.2266736,506.007583,673.4071467
AT2G37520,819.2424126,925.3248538,906.998305
AT2G37530,59.73642592,52.7680161,44.95896771
AT2G37540,34.13510053,32.03772406,18.5700084
AT2G37550,2477.994954,2923.913464,2283.133664
AT2G37555,941.9154301,1234.394662,793.6235169
AT2G37560,325.3501769,467.3738569,308.8485608
AT2G37570,805.375028,930.0362838,940.2288464
AT2G37580,114.1392424,174.3229103,116.3068947
AT2G37585,645.3667443,891.4025577,704.6829503
AT2G37590,311.4827923,309.0698086,232.6137894
AT2G37600,5014.659612,4322.26589,5232.832893
AT2G37610,34.13510053,19.78800604,31.27580362
AT2G37620,2197.447096,1960.89717,2008.493014
AT2G37630,5982.176367,7318.735376,6342.146553
AT2G37640,2063.040138,1957.128026,1122.996824
AT2G37650,299.7488515,309.0698086,247.2743224
AT2G37660,7225.974093,9037.465044,7552.129206
AT2G37670,37.3352662,17.90343404,3.909475453
AT2G37678,485.3584606,488.104149,572.7381538
AT2G37680,721.1039986,537.1030211,691.9771551
AT2G37690,1104.057158,1081.74433,1069.241536
AT2G37700,41.60215377,29.21086606,41.04949225
AT2G37710,915.2473829,910.2482778,848.3561732
AT2G37730,0,0.942286002,10.75105749
AT2G37740,5.333609457,9.422860018,0
AT2G37750,93.87152645,10.36514602,5.864213179
AT2G37760,266.6804729,114.0166062,128.0353211
AT2G37770,163.2084494,3.769144007,65.48371383
AT2G37780,0,0,0
AT2G37790,976.0505307,1210.837512,1128.861037
AT2G37800,1.066721891,0,0
AT2G37805,0,0,0
AT2G37810,0,0,0
AT2G37820,0,4.711430009,4.886844316
AT2G37840,1593.682506,1363.487845,1386.886417
AT2G37860,1724.889298,2018.376616,1715.282355
AT2G37870,0,0,0.977368863
AT2G37880,156.808118,190.3417724,236.5232649
AT2G37890,407.4877625,294.9355186,322.5317248
AT2G37900,168.5420588,270.4360825,192.541666
AT2G37920,492.8255138,676.5613493,395.8343896
AT2G37910,4.266887566,0.942286002,13.68316408
AT2G37925,13.86738459,6.596002013,7.818950905
AT2G37930,400.0207093,447.5858509,338.1696267
AT2G37940,1341.936139,1486.927311,1281.33058
AT2G08895,0,0,0
AT2G37950,151.4745086,41.46058408,128.0353211
